filename,instance_idx,uid,keypoint,error,outlier
1-1-260_jpg.rf.3a23e0c3fdd69dd3bf7026e263b48969,0,1-1-260_jpg.rf.3a23e0c3fdd69dd3bf7026e263b48969#0,BL1,0.03275780975230705,False
1-1-268_jpg.rf.ffeba97075fc1f6d709f69b8087637e7,0,1-1-268_jpg.rf.ffeba97075fc1f6d709f69b8087637e7#0,AOI,0.007635393689178865,False
1-1-268_jpg.rf.ffeba97075fc1f6d709f69b8087637e7,0,1-1-268_jpg.rf.ffeba97075fc1f6d709f69b8087637e7#0,BL2,0.042629778304126544,False
1-1-268_jpg.rf.ffeba97075fc1f6d709f69b8087637e7,0,1-1-268_jpg.rf.ffeba97075fc1f6d709f69b8087637e7#0,IS2,0.009625789096492554,False
1-1-268_jpg.rf.ffeba97075fc1f6d709f69b8087637e7,0,1-1-268_jpg.rf.ffeba97075fc1f6d709f69b8087637e7#0,IAC,0.018797043174857454,False
1-1-268_jpg.rf.ffeba97075fc1f6d709f69b8087637e7,0,1-1-268_jpg.rf.ffeba97075fc1f6d709f69b8087637e7#0,IS1,0.025351368697106195,False
1-1-268_jpg.rf.ffeba97075fc1f6d709f69b8087637e7,0,1-1-268_jpg.rf.ffeba97075fc1f6d709f69b8087637e7#0,BL1,0.09709240561319711,False
1-1-283_jpg.rf.7485c546ec7bd2295d6f9c33c79ab94f,0,1-1-283_jpg.rf.7485c546ec7bd2295d6f9c33c79ab94f#0,AOI,0.010099836376768152,False
1-1-283_jpg.rf.7485c546ec7bd2295d6f9c33c79ab94f,0,1-1-283_jpg.rf.7485c546ec7bd2295d6f9c33c79ab94f#0,BL2,0.022998579665397402,False
1-1-283_jpg.rf.7485c546ec7bd2295d6f9c33c79ab94f,0,1-1-283_jpg.rf.7485c546ec7bd2295d6f9c33c79ab94f#0,IS2,0.02009192400900761,False
1-1-283_jpg.rf.7485c546ec7bd2295d6f9c33c79ab94f,0,1-1-283_jpg.rf.7485c546ec7bd2295d6f9c33c79ab94f#0,IAC,0.018232464774097207,False
1-1-283_jpg.rf.7485c546ec7bd2295d6f9c33c79ab94f,0,1-1-283_jpg.rf.7485c546ec7bd2295d6f9c33c79ab94f#0,IS1,0.035035320401899016,False
1-1-283_jpg.rf.7485c546ec7bd2295d6f9c33c79ab94f,0,1-1-283_jpg.rf.7485c546ec7bd2295d6f9c33c79ab94f#0,BL1,0.018662922998702487,False
1-1-288_jpg.rf.963a5d33c5685df5ff8841f2c6cc52df,0,1-1-288_jpg.rf.963a5d33c5685df5ff8841f2c6cc52df#0,AOI,0.01983067883399295,False
1-1-288_jpg.rf.963a5d33c5685df5ff8841f2c6cc52df,0,1-1-288_jpg.rf.963a5d33c5685df5ff8841f2c6cc52df#0,BL2,0.04353912812222734,False
1-1-288_jpg.rf.963a5d33c5685df5ff8841f2c6cc52df,0,1-1-288_jpg.rf.963a5d33c5685df5ff8841f2c6cc52df#0,IS2,0.0064762445923262826,False
1-1-288_jpg.rf.963a5d33c5685df5ff8841f2c6cc52df,0,1-1-288_jpg.rf.963a5d33c5685df5ff8841f2c6cc52df#0,IAC,0.017228072941337564,False
1-1-288_jpg.rf.963a5d33c5685df5ff8841f2c6cc52df,0,1-1-288_jpg.rf.963a5d33c5685df5ff8841f2c6cc52df#0,IS1,0.021838611557418664,False
1-1-288_jpg.rf.963a5d33c5685df5ff8841f2c6cc52df,0,1-1-288_jpg.rf.963a5d33c5685df5ff8841f2c6cc52df#0,BL1,0.0329068513440618,False
1-1-296_jpg.rf.ce190fdb1b4a393ebab0b67e83e3324e,0,1-1-296_jpg.rf.ce190fdb1b4a393ebab0b67e83e3324e#0,AOI,0.02527367791679043,False
1-1-296_jpg.rf.ce190fdb1b4a393ebab0b67e83e3324e,0,1-1-296_jpg.rf.ce190fdb1b4a393ebab0b67e83e3324e#0,BL2,0.020080183899241863,False
