filename,instance_idx,keypoint,d_px,area_px
11053-B-02_0_jpg.rf.225d1a87c5a6154e3fd211e9503ac2ba,0,AOI,2.916033409,40147.2
11053-B-02_0_jpg.rf.225d1a87c5a6154e3fd211e9503ac2ba,0,BL2,19.37124984,40147.2
11053-B-02_0_jpg.rf.225d1a87c5a6154e3fd211e9503ac2ba,0,IS2,2.316681138,40147.2
11053-B-02_0_jpg.rf.225d1a87c5a6154e3fd211e9503ac2ba,0,IAC,0.3515936759,40147.2
11053-B-02_0_jpg.rf.225d1a87c5a6154e3fd211e9503ac2ba,0,IS1,4.842272615,40147.2
11053-B-02_0_jpg.rf.225d1a87c5a6154e3fd211e9503ac2ba,0,BL1,13.19288924,40147.2
15459-B-01_0_jpg.rf.fbfab2000bda97069795ff68e3dbe0a3,0,AOI,10.50162683,102714
15459-B-01_0_jpg.rf.fbfab2000bda97069795ff68e3dbe0a3,0,BL2,9.989587755,102714
15459-B-01_0_jpg.rf.fbfab2000bda97069795ff68e3dbe0a3,0,IS2,4.861336493,102714
15459-B-01_0_jpg.rf.fbfab2000bda97069795ff68e3dbe0a3,0,IAC,4.767809236,102714
15459-B-01_0_jpg.rf.fbfab2000bda97069795ff68e3dbe0a3,0,IS1,6.872930746,102714
15459-B-01_0_jpg.rf.fbfab2000bda97069795ff68e3dbe0a3,0,BL1,11.00383623,102714
2-1-3_jpg.rf.600c3d0e8a0e8d03c9a9bda9ef0dadae,0,AOI,3.751208594,15109.6
2-1-3_jpg.rf.600c3d0e8a0e8d03c9a9bda9ef0dadae,0,BL2,15.29306018,15109.6
2-1-3_jpg.rf.600c3d0e8a0e8d03c9a9bda9ef0dadae,0,IS2,8.670934582,15109.6
2-1-3_jpg.rf.600c3d0e8a0e8d03c9a9bda9ef0dadae,0,IAC,3.68009453,15109.6
2-1-3_jpg.rf.600c3d0e8a0e8d03c9a9bda9ef0dadae,0,IS1,3.241342053,15109.6
2-1-3_jpg.rf.600c3d0e8a0e8d03c9a9bda9ef0dadae,0,BL1,13.46009022,15109.6
2-1-47_jpg.rf.cbc5206f1e30668471fc9277e8e50a61,0,AOI,1.958196519,21407.25
2-1-47_jpg.rf.cbc5206f1e30668471fc9277e8e50a61,0,BL2,22.9549151,21407.25
2-1-47_jpg.rf.cbc5206f1e30668471fc9277e8e50a61,0,IS2,5.899407677,21407.25
2-1-47_jpg.rf.cbc5206f1e30668471fc9277e8e50a61,0,IAC,3.59891866,21407.25
2-1-47_jpg.rf.cbc5206f1e30668471fc9277e8e50a61,0,IS1,3.89409824,21407.25
2-1-47_jpg.rf.cbc5206f1e30668471fc9277e8e50a61,0,BL1,10.77897725,21407.25
2-1-5_jpg.rf.252d8507e25e45ff9d501ec983a9b595,0,AOI,1.406750543,20527.5
2-1-5_jpg.rf.252d8507e25e45ff9d501ec983a9b595,0,BL2,7.366970406,20527.5
2-1-5_jpg.rf.252d8507e25e45ff9d501ec983a9b595,0,IS2,0.8038301807,20527.5
2-1-5_jpg.rf.252d8507e25e45ff9d501ec983a9b595,0,IAC,0.9408629157,20527.5
2-1-5_jpg.rf.252d8507e25e45ff9d501ec983a9b595,0,IS1,2.848414587,20527.5
2-1-5_jpg.rf.252d8507e25e45ff9d501ec983a9b595,0,BL1,3.06784364,20527.5
2-1-62_jpg.rf.cb5c0cc1e10dcd80fa1140fcb2944c8e,0,AOI,5.036939499,21034.95
2-1-62_jpg.rf.cb5c0cc1e10dcd80fa1140fcb2944c8e,0,BL2,26.1090109,21034.95
2-1-62_jpg.rf.cb5c0cc1e10dcd80fa1140fcb2944c8e,0,IS2,7.22053854,21034.95
2-1-62_jpg.rf.cb5c0cc1e10dcd80fa1140fcb2944c8e,0,IAC,3.66528531,21034.95
2-1-62_jpg.rf.cb5c0cc1e10dcd80fa1140fcb2944c8e,0,IS1,0.2687363961,21034.95
2-1-62_jpg.rf.cb5c0cc1e10dcd80fa1140fcb2944c8e,0,BL1,35.93415863,21034.95
2-1-63_jpg.rf.5c93a08c867833beeb2383013ab66e65,0,AOI,2.877028971,25165.1
2-1-63_jpg.rf.5c93a08c867833beeb2383013ab66e65,0,BL2,8.460469196,25165.1
2-1-63_jpg.rf.5c93a08c867833beeb2383013ab66e65,0,IS2,3.692727148,25165.1
2-1-63_jpg.rf.5c93a08c867833beeb2383013ab66e65,0,IAC,3.202443263,25165.1
2-1-63_jpg.rf.5c93a08c867833beeb2383013ab66e65,0,IS1,8.305308382,25165.1
